# Format version: 1.5
# Report generated by Certitude W-2024.09-1 - 5682288 - 2024
# Report generated at 2026-2-13 14:33:22

# TopName:	work.control_unit

#s Status at 2026-2-13 14:33:22
#s 
#s Fault Model Phase (W-2024.09-1): Started on 2026-02-13 at 13:50:55, completed on 2026-02-13 at 13:51:20
#s Design status:
#s      0 Modules/Entities are not instantiated 
#s      0 Modules/Entities having faults are not instantiated 
#s Optimizer elaboration status : succeeded
#s      0 Modules/Entities elaboration failed
#s      0 Modules/Entities having faults elaboration failed
#s      0 Modules/Entities are undefined (black-boxes)
#s Fault Activation Phase: Started on 2026-02-13 at 13:51:24, completed on 2026-02-13 at 13:52:07
#s Fault Detection Phase: Started on 2026-02-13 at 13:52:10, completed on 2026-02-13 at 14:08:13
#s Metric computation: Not executed
#s Regression Phase: Not executed
#s 
#s Full design status
#s Faults injected in the design:
#s    414 Faults are injected in the design
#s    349 Faults are considered for status
#s      6 Faults are disabled by Certitude
#s      0 Faults are disabled by user
#s      0 Faults are not yet qualified
#s     10 Faults are dropped
#s 
#s      5 Faults are non-activated
#s     10 Faults are non-propagated
#s    318 Faults are detected
#s      0 Faults are non-detected

# Certitude configuration
# Config Type  Configuration Option Name                       Value 
PubConf        IncludePaths                                    input 
PubConf        InstrumentationDirectory                        /homedir04/mmohamed25/DT3_2026/project/workdir/control_unit_certitude_hdl_files 
PubConf        ReportFormat                                    text 
PubConf        Simulator                                       vcs 
PubConf        SimulatorBitWidth                               64 
PubConf        SupportMdaForConnectivityOnNonQualifiedBlocks   true 
PubConf        TopName                                         work.control_unit 
PubConf        VerdiInitCommand                                {debImport -top work.control_unit_tb -path . -simflow} 
PubConf        WaveDump                                        true 

# The following configuration options require model to be run to be effective:
#  Configuration Option Name  Current Value  New Value  


# Testcase statistics
# Test 	 Run 	 Activated 	 # of runs in 	 Propagated 	 Detected 	 Test
#   ID 	 time 	 Faults 	 Detection 	 Faults 	 Faults 	 name
T1 	 00:00:09.18	 337	 327	 318	 318	 1

# File
#	ID	Name
File	1	/homedir04/mmohamed25/DT3_2026/project/workdir/input/control_unit.sv
File	2	/homedir04/mmohamed25/DT3_2026/project/workdir/input/audioport.svh

# Hierarchical Instance Name Identifier
# ID	Hierarchical
# ..	  Instance
# ..	    Name
H1	work.control_unit

# Fault
# ID	Type	Status	E/I	Formal	Line	HINI	Module	File
# ..	....	......	...	.Port.	....	....	.Name.	.ID.
120	CondT	D	-	-	188	H1	control_unit	1
121	NCond	D	-	-	188	H1	control_unit	1
122	ElseD	D	-	-	190	H1	control_unit	1
123	DeadA	D	-	-	189	H1	control_unit	1
124	BitF	D	-	-	189	H1	control_unit	1
125	CondF	D	-	-	190	H1	control_unit	1
126	CondT	D	-	-	190	H1	control_unit	1
127	NCond	D	-	-	190	H1	control_unit	1
128	DeadA	D	-	-	191	H1	control_unit	1
129	BitF	D	-	-	191	H1	control_unit	1
130	CondF	DBC	-	-	200	H1	control_unit	1
131	CondT	D	I:131	-	200	H1	control_unit	1
132	NCond	DBC	-	-	200	H1	control_unit	1
133	ElseD	DBC	-	-	202	H1	control_unit	1
134	DeadA	DBC	-	-	201	H1	control_unit	1
135	BitF	DBC	-	-	201	H1	control_unit	1
136	CondF	DBC	I:131	-	202	H1	control_unit	1
137	CondT	D	-	-	202	H1	control_unit	1
138	NCond	D	-	-	202	H1	control_unit	1
139	ElseD	NP	I:139	-	204	H1	control_unit	1
140	DeadA	D	-	-	203	H1	control_unit	1
141	DeadA	DBC	I:139	-	205	H1	control_unit	1
142	BitF	Dro	-	-	205	H1	control_unit	1
143	CondF	DBC	-	-	214	H1	control_unit	1
144	CondT	D	-	-	214	H1	control_unit	1
145	NCond	DBC	-	-	214	H1	control_unit	1
146	ElseD	DBC	-	-	216	H1	control_unit	1
147	DeadA	DBC	-	-	215	H1	control_unit	1
148	BitF	DBC	-	-	215	H1	control_unit	1
149	DeadA	D	-	-	217	H1	control_unit	1
150	DeadA	D	-	-	226	H1	control_unit	1
151	Oper	D	-	-	226	H1	control_unit	1
152	Oper	D	-	-	226	H1	control_unit	1
153	Oper	D	-	-	226	H1	control_unit	1
154	DeadA	D	-	-	227	H1	control_unit	1
155	Oper	D	-	-	227	H1	control_unit	1
156	Oper	D	-	-	227	H1	control_unit	1
157	DeadA	D	-	-	228	H1	control_unit	1
158	CondF	D	-	-	228	H1	control_unit	1
159	CondT	D	-	-	228	H1	control_unit	1
160	NCond	D	-	-	228	H1	control_unit	1
161	BitF	D	-	-	228	H1	control_unit	1
162	FlipF	D	-	-	228	H1	control_unit	1
163	FlipL	D	-	-	228	H1	control_unit	1
164	DeadA	D	-	-	235	H1	control_unit	1
165	Oper	D	-	-	235	H1	control_unit	1
166	Oper	D	-	-	235	H1	control_unit	1
167	Oper	D	-	-	235	H1	control_unit	1
168	DeadA	D	-	-	236	H1	control_unit	1
169	Oper	D	-	-	236	H1	control_unit	1
170	Oper	D	-	-	236	H1	control_unit	1
171	DeadA	D	-	-	237	H1	control_unit	1
172	CondF	D	-	-	237	H1	control_unit	1
173	CondT	D	-	-	237	H1	control_unit	1
174	NCond	D	-	-	237	H1	control_unit	1
175	BitF	D	-	-	237	H1	control_unit	1
176	FlipF	D	-	-	237	H1	control_unit	1
177	FlipL	D	-	-	237	H1	control_unit	1
178	DeadA	D	-	-	247	H1	control_unit	1
179	DeadA	D	-	-	248	H1	control_unit	1
180	DeadA	D	-	-	249	H1	control_unit	1
181	DeadA	D	-	-	250	H1	control_unit	1
182	CondF	D	-	-	253	H1	control_unit	1
183	CondT	DBC	I:255	-	253	H1	control_unit	1
184	NCond	D	-	-	253	H1	control_unit	1
185	ElseD	D	-	-	258	H1	control_unit	1
186	Oper	D	-	-	253	H1	control_unit	1
187	Oper	D	-	-	253	H1	control_unit	1
188	DeadA	NP	-	-	254	H1	control_unit	1
189	BitF	Dro	-	-	254	H1	control_unit	1
190	DeadA	NP	-	-	255	H1	control_unit	1
191	BitF	Dro	-	-	255	H1	control_unit	1
192	DeadA	NP	-	-	256	H1	control_unit	1
193	BitF	Dro	-	-	256	H1	control_unit	1
194	DeadA	NP	-	-	257	H1	control_unit	1
195	BitF	Dro	-	-	257	H1	control_unit	1
196	CondF	D	-	-	260	H1	control_unit	1
197	CondT	D	-	-	260	H1	control_unit	1
198	NCond	D	-	-	260	H1	control_unit	1
199	Oper	D	-	-	260	H1	control_unit	1
200	Oper	D	-	-	260	H1	control_unit	1
201	Oper	D	-	-	260	H1	control_unit	1
202	Oper	D	-	-	260	H1	control_unit	1
203	DeadA	D	-	-	261	H1	control_unit	1
204	CondF	D	-	-	263	H1	control_unit	1
205	CondT	D	-	-	263	H1	control_unit	1
206	NCond	D	-	-	263	H1	control_unit	1
207	ElseD	D	-	-	266	H1	control_unit	1
208	Oper	D	-	-	263	H1	control_unit	1
209	DeadA	D	-	-	264	H1	control_unit	1
210	BitF	D	-	-	264	H1	control_unit	1
211	DeadA	D	-	-	265	H1	control_unit	1
